CountyName,year,log_price,wfh_rate,median_income,unemployment_rate,population,n_zips
Lake County,2022,12.71302942204591,14.177972874217582,58549.63121486617,0.1051256578947368,68857.0,14.0
Lake County,2023,12.650171564207872,15.836704123562386,60420.48081456733,0.1146626692288797,69212.0,14.0
Lassen County,2017,11.958919374613908,5.251114908279789,56035.96471019076,0.0784306821586709,30037.0,9.0
Lassen County,2018,12.049205651259168,4.9466816830688884,58743.78968333668,0.0633960199504586,29874.0,9.0
Lassen County,2019,12.093518988399701,5.30069757167636,60076.932013740094,0.0690537734244805,29403.0,9.0
Lassen County,2020,12.142761050333108,5.464689591291707,58522.15766877388,0.0636076603225043,29581.0,9.0
Lassen County,2021,12.274320122526865,4.630353397226365,62811.49020976802,0.0710777601472501,31511.0,9.0
Lassen County,2022,12.323118807653408,4.90417736013986,64497.65468790469,0.0772810508935508,30888.0,9.0
Lassen County,2023,12.317988886646175,6.3035478852459015,69749.03449180328,0.0715596786885246,30500.0,9.0
Los Angeles County,2017,13.173929952978378,5.110013096142222,63980.183752090714,0.0786568468868703,10088658.0,274.0
Los Angeles County,2018,13.306405418740281,5.184626558842406,67465.26691489162,0.0688645057638645,10080910.0,274.0
Los Angeles County,2019,13.35343349384572,5.379834321726709,70990.25837577211,0.0613403340233237,10063908.0,274.0
Los Angeles County,2020,13.410827016840523,7.741689634320682,73964.66561626767,0.0648346948715109,10023810.0,274.0
Los Angeles County,2021,13.537194605347365,10.511234503790197,79057.41151261702,0.0701977616322501,9999742.0,274.0
Los Angeles County,2022,13.65060160528467,12.702730899555943,86336.74321030286,0.0700082811575974,9915848.0,274.0
Los Angeles County,2023,13.646936644047498,14.589167759167381,90559.17586818029,0.0703003303511001,9827423.0,274.0
Madera County,2017,12.27143621998016,3.555752533122481,48520.322315005884,0.081589182882379,155559.0,12.0
Madera County,2018,12.385970070804827,3.3396245691146507,52179.66531260812,0.0823166664530927,156074.0,12.0
Madera County,2019,12.447325863455156,3.6544374357081018,56687.091713524336,0.0855152900137495,157096.0,12.0
Madera County,2020,12.508419281154646,5.089925169105422,61104.91566946857,0.094496350114852,157594.0,12.0
Madera County,2021,12.666933124715785,6.98738677049222,66042.38352626101,0.1009000837712283,157572.0,12.0
Madera County,2022,12.806675184644046,7.529552790613878,73407.38955439943,0.1079609864025134,158191.0,12.0
Madera County,2023,12.811757537416373,8.458931454227361,76101.6213653722,0.1032001310566679,159473.0,12.0
Marin County,2017,13.85174398213547,10.5742151373963,106683.3704505152,0.0456249666362295,256266.0,25.0
Marin County,2018,13.921017159071187,11.54614388331279,112588.17353976904,0.037842726614623,255555.0,25.0
Marin County,2019,13.921518934893856,12.394743965095577,117776.41206170556,0.0372484349748586,255555.0,25.0
Marin County,2020,13.957801216359373,16.748308530199687,125303.95035184045,0.0452589030134966,254953.0,25.0
Marin County,2021,14.111258272151428,21.949653235922693,133771.29862408762,0.0514788298333643,258288.0,25.0
Marin County,2022,14.224202588995741,25.95265912655195,146112.78852623107,0.0576515044963749,257096.0,25.0
Marin County,2023,14.171656896330411,27.981022385326128,149554.89829832123,0.0610835764238109,255529.0,25.0
Mariposa County,2017,12.587545284268625,11.02904657994924,52340.35552030457,0.1118463007614213,15760.0,6.0
Mariposa County,2018,12.652688426551194,11.497987777990184,52114.32982858599,0.0917731791244503,15693.0,6.0
Mariposa County,2019,12.68290059701821,12.163695976316294,51640.464072458904,0.0918263767746864,15707.0,6.0
Mariposa County,2020,12.735213376085373,10.418195786588473,48028.53080811312,0.0859630099439061,15688.0,6.0
Mariposa County,2021,12.905350715470451,13.317412335083901,52479.208138417176,0.0978231779172537,15614.0,6.0
Mariposa County,2022,13.00074233172744,17.258480781340356,56113.604858924096,0.0652440789050954,15563.0,6.0
Mariposa County,2023,12.965157657127454,14.506395179572083,63675.86585987261,0.0665475356597045,15704.0,6.0
Mendocino County,2017,13.004997476582915,8.027340517560546,46343.6275708869,0.1097475813555643,78329.0,12.0
Mendocino County,2018,13.070076505438934,7.880769453003642,48448.663806055665,0.0973006646464132,78538.0,12.0
Mendocino County,2019,13.117605649914472,8.791958856632425,52095.57645632617,0.0905076539271358,78365.0,12.0
Mendocino County,2020,13.150364211312871,8.611481573808739,53347.76761849213,0.0897728805822534,78866.0,12.0
Mendocino County,2021,13.26646000041551,8.958154679174935,57958.38844187865,0.0850096494076613,83145.0,12.0
Mendocino County,2022,13.286055644075342,9.327504205437627,62576.64041644747,0.0919966996219831,82536.0,12.0
Mendocino County,2023,13.1869884485256,11.133409908162891,65450.38367909456,0.0945280194650762,81993.0,12.0
Merced County,2017,12.345872013379868,3.3118038762905257,46652.043751555415,0.1477555765039479,265202.0,17.0
Merced County,2018,12.443270596368187,3.0247238894221398,50324.578407846784,0.1285535274532447,266708.0,17.0
Merced County,2019,12.523975936773015,3.45819141215333,53924.048737705714,0.120168704263013,268519.0,17.0
Merced County,2020,12.581023105305146,3.8186619355863107,56722.5812888646,0.107888126080085,270812.0,17.0
Merced County,2021,12.754905951329011,4.558167182924001,59153.999727914845,0.1118981427784382,275896.0,17.0
Merced County,2022,12.905457741168377,5.396636325564718,65170.63152301141,0.1070470692004302,278900.0,17.0
Merced County,2023,12.873437671096724,6.307742148245431,64968.4611850292,0.1080324601491728,282491.0,17.0
Modoc County,2017,11.523554994735957,9.877165410796264,37551.12110178883,0.0872131708089282,6317.0,2.0
Modoc County,2018,11.614122238417066,12.080824107420057,42071.70490530891,0.0930560074511021,6442.0,3.0
Modoc County,2019,11.680498114600814,10.125714541491515,43933.251284446524,0.1045237427993149,6423.0,3.0
Modoc County,2020,11.686713655314371,13.11608511914155,49088.68707590342,0.0948566198516648,6337.0,3.0
Modoc County,2021,11.845450603749901,13.177836612529001,50777.544779582364,0.1226865429234338,6465.0,3.0
Modoc County,2022,11.967281002405908,9.768018067712633,54253.69892650702,0.0848581172584641,6055.0,3.0
Modoc County,2023,12.005073451114995,11.531904705489737,56884.67245119306,0.058423911229768,5993.0,3.0
Mono County,2017,12.831531328471433,10.118642749152837,61961.082978538536,0.0349372317316882,11509.0,4.0
Mono County,2018,12.955203677724924,8.907854935404881,64887.99541243935,0.0296159419066114,11843.0,4.0
Mono County,2019,13.026432596299031,4.843046221484861,61682.04209172739,0.0332916134384073,12055.0,4.0
Mono County,2020,13.105822381129187,6.613176559466532,68492.72288343041,0.0084487802819279,11847.0,4.0
Mono County,2021,13.294937453051249,8.616968563973714,75279.18989176652,0.0,10348.0,4.0
Mono County,2022,13.479506295616144,11.162952307103197,83877.47645031591,0.0188706107600995,10446.0,4.0
Mono County,2023,13.46900698136787,13.689645099578142,92123.98469537919,0.0195001667811243,10193.0,4.0
Monterey County,2017,13.092363975100238,4.285993651547726,63208.125500214504,0.0597171642351777,412573.0,24.0
Monterey County,2018,13.157716652456795,4.152531408726272,67010.09320728343,0.0509130956958743,413487.0,24.0
Monterey County,2019,13.203463585393264,4.406804928653436,70228.1273963087,0.0460670047467896,414596.0,24.0
Monterey County,2020,13.262273903032796,5.643619637589854,75709.24961283761,0.0478075076879999,414282.0,24.0
Monterey County,2021,13.41357123713294,6.426419121276241,80506.84747399544,0.0515933660635743,420610.0,24.0
Monterey County,2022,13.536138832509032,7.6294444396340495,89682.57983807249,0.0500604080535507,420386.0,24.0
Monterey County,2023,13.529564658840414,8.054265283941195,94193.94385413287,0.0496954471641648,419365.0,24.0
Napa County,2017,13.41622219974559,5.619788680521788,80506.32556008936,0.0538366709655595,141897.0,8.0
Napa County,2018,13.466867238351297,5.7178469310550035,86179.53311938564,0.0499164010031454,141156.0,8.0
Napa County,2019,13.494384891158417,5.9127722349482275,89981.99020930116,0.0447678027302633,140133.0,8.0
Napa County,2020,13.519623218767041,7.262283528716667,94410.13130912838,0.0449677772413842,138787.0,8.0
Napa County,2021,13.637716831834357,9.250413232673125,100418.28376261247,0.0484379329922097,139148.0,8.0
Napa County,2022,13.723089564070632,11.002906107503108,108732.86267208715,0.0517194897565871,137503.0,8.0
Napa County,2023,13.714488507271364,12.558661706987472,110233.0631325372,0.0504983467736012,136158.0,8.0
Nevada County,2017,12.926867394090454,10.311264806040866,62412.81908075638,0.0740711345657599,94556.0,7.0
Nevada County,2018,13.003609109550826,11.985057862775692,65543.44834241111,0.0635454465904778,94852.0,7.0
Nevada County,2019,13.022949272325649,13.636161092164453,68994.66603201172,0.0457958468459043,95590.0,7.0
Nevada County,2020,13.05286189009601,15.94148746026584,72960.61875137693,0.0397792952235079,95321.0,7.0
Nevada County,2021,13.24103063900161,18.698580472625412,77462.79360325949,0.040213709192768,98175.0,7.0
Nevada County,2022,13.328958078383947,21.54614479996751,82452.9549584302,0.0429796384086733,98509.0,7.0
Nevada County,2023,13.269394096497406,21.71394952302581,86976.0382290492,0.0447888716182581,98433.0,7.0
Orange County,2017,13.363770045573018,5.5427515527069495,83398.70149563403,0.0579109225635669,3152108.0,84.0
Orange County,2018,13.449414179661755,5.859185754866253,87391.08016355493,0.0507155748558645,3161262.0,84.0
Orange County,2019,13.454830696819233,6.3574220411073,91682.50335201407,0.0461780673574,3166007.0,85.0
Orange County,2020,13.503587055489865,8.912549400527174,96201.23912155845,0.0495942545218222,3166699.0,85.0
Orange County,2021,13.63831038886604,12.136000891162949,102517.86949130456,0.0542983384698473,3184715.0,85.0
Orange County,2022,13.799850351186622,14.476726950330495,111390.37548656935,0.0538816651068115,3176577.0,85.0
Orange County,2023,13.819712339972222,16.487835813811962,115912.41547766843,0.0535963172783944,3164779.0,85.0
Placer County,2017,13.010461862778099,8.383441236553756,84074.49370950602,0.0569503349373079,379474.0,27.0
Placer County,2018,13.07453472275141,9.198858211023245,88395.33249663805,0.04979825620389,384678.0,28.0
Placer County,2019,13.110075154384017,9.988079472529165,92728.4420131291,0.042671285309103,389595.0,28.0
Placer County,2020,13.156949579912757,12.946999963411555,97293.42791319707,0.0411208309361594,396300.0,28.0
Placer County,2021,13.321703371457913,16.13423533673275,102176.77761821548,0.0426258434075915,404579.0,28.0
Placer County,2022,13.438728158767633,18.503537022352063,111699.24496780612,0.0420925984485639,411103.0,28.0
Placer County,2023,13.380534982099329,20.02685941253918,117067.60899897118,0.0445660979756871,416981.0,28.0
Plumas County,2017,12.241963268717729,5.763049470855032,49816.293007961234,0.092484377624727,17859.0,8.0
Plumas County,2018,12.345936125420984,5.337583989884799,55060.61667937364,0.0613901713964596,17795.0,8.0
Plumas County,2019,12.404603144105497,5.832719224906191,53389.468404613166,0.0496505511257035,17056.0,9.0
Plumas County,2020,12.441283314429057,6.848740615545729,53341.3260992285,0.0662546020479404,17188.0,10.0
Plumas County,2021,12.60097103387783,7.372050841565035,55023.59922430511,0.0923011588764417,18121.0,10.0
Plumas County,2022,12.698272195643957,8.537059112689555,64609.17766318997,0.0957109532668132,17739.0,10.0
Plumas County,2023,12.664683771854262,8.147659490213927,70213.88673950684,0.1165329369594902,17576.0,10.0
Riverside County,2017,12.705719420830603,5.18076196681796,64283.782751424325,0.1000933892999394,2357239.0,68.0
